TAHUN,JENIS KELAMIN,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEP. BANGKA BELITUNG,KEP. RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA,INDONESIA
2010,L,12.61,11.77,11.83,11.6,11.24,10.81,11.45,10.76,10.24,11.15,12.22,10.81,11.17,14.56,11.61,10.71,11.95,11.86,10.78,10.86,11.04,10.74,11.75,,10.95,10.99,11.13,12.07,10.74,10.52,12.39,11.27,11.48,8.88,11.2
2011,L,12.8,11.77,11.89,11.68,11.54,11.16,11.83,10.81,10.5,11.57,12.24,11.02,11.22,14.76,11.72,11.2,12.39,12.24,11.48,11.01,11.13,11.09,12.05,,11.22,11.68,11.54,12.28,11.13,11.16,12.46,11.72,11.53,9.17,11.41
2012,L,12.81,11.78,12.36,11.72,11.58,11.26,11.85,11.27,10.53,11.76,12.26,11.24,11.43,14.78,11.76,11.73,12.42,12.33,11.61,11.17,11.21,11.44,12.34,,11.38,11.73,11.97,12.3,11.45,11.22,12.65,12.18,11.58,9.24,11.63
2013,L,13.11,12.26,12.75,12.2,12.03,11.34,12.62,11.83,10.79,12.12,12.28,11.87,11.91,14.8,12.24,12,12.56,12.54,12.23,11.6,11.6,11.55,12.71,12.18,11.61,12.12,12.4,12.32,11.77,11.34,13.01,12.4,11.94,9.68,12.07
2014,L,13.33,12.43,13.07,12.28,12.27,11.74,12.86,12.15,11.11,12.38,12.47,12.13,12.2,15.21,12.6,12.29,12.82,12.83,12.6,12.4,11.73,11.81,13.12,12.45,11.86,12.37,12.7,12.69,12.08,11.46,13.33,12.52,12.21,10.02,12.37
2015,L,13.43,12.47,13.07,12.55,12.28,11.86,12.87,12.16,11.45,12.39,12.61,12.14,12.29,15.22,12.72,12.3,13.31,13.17,12.7,12.41,12.05,12.15,13.13,12.46,12.24,12.39,12.73,12.8,12.19,11.96,13.47,13.09,12.68,10.1,12.42
2016,L,13.67,12.67,13.35,12.74,12.57,12.17,13.2,12.28,11.56,12.52,12.68,12.15,12.34,15.53,13.2,12.79,13.32,13.4,12.84,12.45,12.24,12.16,13.2,12.47,12.27,12.69,12.91,13.09,12.41,12.16,13.68,13.51,12.88,10.38,12.67
2017,L,13.95,12.92,13.53,12.84,12.72,12.18,13.29,12.29,11.66,12.76,12.96,12.41,12.52,15.54,13.21,12.8,13.33,13.58,13.05,12.46,12.44,12.53,13.42,12.81,12.42,12.82,12.99,13.17,12.54,12.27,13.69,13.69,13.13,10.65,12.78
2010,P,13.21,11.86,12.59,11.94,11.45,11.25,11.74,10.99,10.73,11.91,11.55,10.58,10.95,13.68,11.39,11.36,11.46,11.5,10.93,10.7,11.13,10.97,12.01,,11.75,11.37,11.8,12.24,11.48,10.68,12.88,11.79,10.64,8.23,11.37
2011,P,13.27,11.94,13.15,12.08,11.66,11.26,11.93,11.29,10.9,11.97,11.63,10.78,11.15,14.43,11.51,11.6,11.88,11.73,11.61,10.71,11.15,11.3,12.32,,11.79,11.96,12.09,12.32,12.24,11.25,13.24,11.88,10.97,8.64,11.56
2012,P,13.6,12.19,13.28,12.21,11.87,11.58,12.57,11.48,11.09,12.03,11.78,11.24,11.35,14.47,11.73,11.85,12.08,12.13,11.87,11.05,11.23,11.63,12.63,,12.19,12.46,12.35,12.66,12.47,11.37,13.32,12.22,11.28,8.96,11.75
2013,P,13.63,12.56,13.57,12.35,12.31,11.58,12.95,11.97,11.13,12.4,12.22,11.75,11.87,14.49,12.09,12.1,12.21,12.41,12.3,11.61,11.74,11.79,13.01,12.48,12.35,12.61,12.68,12.77,12.49,11.75,13.7,12.57,11.37,9.45,12.13
2014,P,13.75,12.82,13.9,12.48,12.5,11.76,13.19,12.35,11.28,12.66,12.3,12.03,12.14,14.5,12.31,12.32,12.46,12.66,12.71,11.62,12.38,12.12,13.23,12.64,12.51,13.09,13.1,12.87,12.91,12.13,13.72,12.92,11.48,9.85,12.4
2015,P,14.05,13.2,14.14,12.95,12.88,12.2,13.56,12.4,11.7,12.82,12.53,12.34,12.47,14.88,12.6,12.47,12.59,12.91,13.01,12.11,12.41,12.29,13.29,12.65,12.63,13.12,13.27,13.35,13.23,12.41,13.73,13.11,11.68,9.85,12.68
2016,P,14.11,13.34,14.24,13,12.89,12.3,13.57,12.46,11.88,12.82,12.8,12.5,12.57,14.92,12.78,12.6,12.77,12.93,13.07,12.3,12.42,12.41,13.53,12.7,12.88,13.16,13.41,13.37,13.4,12.52,13.78,13.4,11.9,9.93,12.79
2017,P,14.32,13.35,14.38,13.23,13.04,12.56,13.86,12.67,12,12.88,12.81,12.51,12.63,15.14,13.03,12.77,13.13,13.36,13.08,12.68,12.48,12.42,13.67,12.77,12.95,13.27,13.59,13.54,13.5,12.71,14.25,13.43,12.1,10.24,12.93
